t,p,q,d,b,a
2021-12-09 16:00:00+00:00,48400.0,0.74815,-0.53715,0.64265,0.1055
2021-12-09 16:00:00+00:00,48410.0,1.7893,0.74786,0.52072,1.26858
2021-12-09 16:00:00+00:00,48420.0,3.33877,0.89853,1.22012,2.11865
2021-12-09 16:00:00+00:00,48430.0,3.08408,-0.84622,1.96515,1.11893
2021-12-09 16:00:00+00:00,48440.0,1.74907,0.05011,0.84948,0.89959
2021-12-09 16:00:00+00:00,48450.0,1.25251,-1.19853,1.22552,0.02699
2021-12-09 16:00:00+00:00,48460.0,4.94651,0.37227,2.28712,2.65939
2021-12-09 16:00:00+00:00,48470.0,16.28903,-9.33573,12.81238,3.47665
2021-12-09 16:01:00+00:00,48400.0,4.62433,1.09921,1.76256,2.86177
2021-12-09 16:01:00+00:00,48410.0,4.00819,0.79033,1.60893,2.39926
2021-12-09 16:01:00+00:00,48420.0,2.44747,0.78045,0.83351,1.61396
2021-12-09 16:01:00+00:00,48430.0,1.62872,0.60508,0.51182,1.1169
2021-12-09 16:01:00+00:00,48440.0,7.45414,1.1445,3.15482,4.29932
2021-12-09 16:01:00+00:00,48450.0,6.80844,0.78858,3.00993,3.79851
2021-12-09 16:01:00+00:00,48460.0,3.13209,-1.94261,2.53735,0.59474
2021-12-09 16:01:00+00:00,48470.0,0.54124,0.31702,0.11211,0.42913
2021-12-09 16:01:00+00:00,48480.0,0.24335,0.17621,0.03357,0.20978
2021-12-09 16:02:00+00:00,48430.0,0.22144,0.18854,0.01645,0.20499
2021-12-09 16:02:00+00:00,48440.0,3.36874,2.68488,0.34193,3.02681
2021-12-09 16:02:00+00:00,48450.0,5.33296,0.03202,2.65047,2.68249
2021-12-09 16:02:00+00:00,48460.0,6.23869,-0.32161,3.28015,2.95854
2021-12-09 16:02:00+00:00,48470.0,8.08878,-3.9581,6.02344,2.06534
2021-12-09 16:02:00+00:00,48480.0,5.78183,-0.86721,3.32452,2.45731
2021-12-09 16:02:00+00:00,48490.0,3.90964,0.24054,1.83455,2.07509
2021-12-09 16:02:00+00:00,48500.0,1.63869,-0.56497,1.10183,0.53686
2021-12-09 16:03:00+00:00,48360.0,1.17975,-1.17975,1.17975,0.0
2021-12-09 16:03:00+00:00,48370.0,4.38912,-2.958,3.67356,0.71556
2021-12-09 16:03:00+00:00,48380.0,7.22766,-0.15358,3.69062,3.53704
2021-12-09 16:03:00+00:00,48390.0,8.35596,-3.93644,6.1462,2.20976
2021-12-09 16:03:00+00:00,48400.0,6.38985,-2.47555,4.4327,1.95715
2021-12-09 16:03:00+00:00,48410.0,0.62116,-0.4692,0.54518,0.07598
2021-12-09 16:03:00+00:00,48420.0,0.06272,-0.04272,0.05272,0.01
2021-12-09 16:03:00+00:00,48430.0,5.15463,-2.27287,3.71375,1.44088
2021-12-09 16:03:00+00:00,48440.0,0.57466,-0.24422,0.40944,0.16522
2021-12-09 16:03:00+00:00,48450.0,2.73385,0.71285,1.0105,1.72335
2021-12-09 16:03:00+00:00,48460.0,0.11579,-0.11579,0.11579,0.0
2021-12-09 16:04:00+00:00,48300.0,3.01812,0.0365,1.49081,1.52731
