,o,h,l,c,v,d
2021-12-09 16:00:00+00:00,48462.08,48471.09,48400.25,48421.05,33.19742,-9.84886
2021-12-09 16:01:00+00:00,48421.06,48477.67,48400.0,48451.97,30.88797,3.75877
2021-12-09 16:02:00+00:00,48451.96,48499.52,48430.95,48450.0,34.58077,-2.56591
2021-12-09 16:03:00+00:00,48450.0,48458.6,48359.17,48369.67,36.80515,-13.13527
2021-12-09 16:04:00+00:00,48369.67,48387.2,48300.0,48316.97,20.64135,-5.38579
2021-12-09 16:05:00+00:00,48316.97,48383.62,48316.96,48321.76,19.85662,-1.10692
2021-12-09 16:06:00+00:00,48321.77,48429.44,48312.0,48409.06,30.80138,1.58166
2021-12-09 16:07:00+00:00,48409.06,48462.15,48404.38,48425.65,17.92321,-2.31785
2021-12-09 16:08:00+00:00,48425.64,48434.0,48385.9,48392.0,26.27059,-7.40073
2021-12-09 16:09:00+00:00,48390.99,48414.0,48373.11,48406.96,15.38413,3.18337
2021-12-09 16:10:00+00:00,48404.17,48450.0,48398.26,48437.24,12.46371,-1.90931
2021-12-09 16:11:00+00:00,48437.25,48449.51,48386.03,48398.25,23.45167,-5.69007
2021-12-09 16:12:00+00:00,48398.25,48398.28,48347.6,48350.0,13.2289,-2.28722
2021-12-09 16:13:00+00:00,48350.0,48365.0,48251.0,48282.4,35.8989,-9.33984
2021-12-09 16:14:00+00:00,48282.4,48321.0,48256.01,48271.68,20.20307,-2.21009
2021-12-09 16:15:00+00:00,48271.68,48326.36,48242.76,48326.36,22.6587,3.04832
2021-12-09 16:16:00+00:00,48326.36,48335.14,48272.81,48277.99,16.56836,0.458
2021-12-09 16:17:00+00:00,48278.0,48360.34,48150.61,48338.51,121.49389,-34.50623
2021-12-09 16:18:00+00:00,48338.52,48415.0,48326.93,48394.48,41.79241,8.92813
2021-12-09 16:19:00+00:00,48394.48,48428.8,48380.16,48402.83,16.18288,-1.27576
2021-12-09 16:20:00+00:00,48402.82,48421.43,48350.02,48354.86,19.63573,-1.46383
2021-12-09 16:21:00+00:00,48354.86,48388.11,48334.0,48385.69,20.84247,8.86547
2021-12-09 16:22:00+00:00,48385.69,48421.17,48377.39,48403.12,22.67236,13.85224
2021-12-09 16:23:00+00:00,48403.11,48425.0,48370.28,48420.63,36.84737,-0.65581
2021-12-09 16:24:00+00:00,48420.64,48476.77,48412.69,48463.04,19.7659,6.6856
2021-12-09 16:25:00+00:00,48463.04,48482.02,48425.64,48427.06,16.57488,1.21148
2021-12-09 16:26:00+00:00,48427.06,48443.87,48400.49,48415.99,10.70349,-0.27683
2021-12-09 16:27:00+00:00,48415.98,48500.0,48415.98,48492.82,19.29575,0.87743
2021-12-09 16:28:00+00:00,48492.82,48599.28,48481.11,48569.48,59.31386,12.5544
2021-12-09 16:29:00+00:00,48569.49,48575.29,48528.01,48550.0,24.11346,4.30542
2021-12-09 16:30:00+00:00,48544.45,48570.36,48500.0,48560.52,20.55332,-4.4265
2021-12-09 16:31:00+00:00,48560.52,48668.82,48560.51,48613.0,65.25778,-4.74242
2021-12-09 16:32:00+00:00,48612.99,48657.07,48603.01,48647.0,17.88621,-4.28919
2021-12-09 16:33:00+00:00,48645.99,48647.33,48604.07,48629.99,22.74937,-1.62149
2021-12-09 16:34:00+00:00,48630.0,48648.72,48600.04,48618.75,26.66594,-3.6086
2021-12-09 16:35:00+00:00,48618.75,48638.11,48581.24,48592.1,21.74366,-3.66616
2021-12-09 16:36:00+00:00,48592.1,48649.0,48573.01,48647.73,15.04572,-0.2236
2021-12-09 16:37:00+00:00,48647.74,48647.74,48604.96,48634.03,14.38838,0.01154
2021-12-09 16:38:00+00:00,48634.03,48635.97,48608.5,48617.59,8.88425,-2.68405
2021-12-09 16:39:00+00:00,48617.58,48729.92,48617.58,48729.91,20.26567,8.32501
2021-12-09 16:40:00+00:00,48729.92,48838.29,48700.01,48713.78,129.73702,43.90572
2021-12-09 16:41:00+00:00,48711.23,48795.74,48711.22,48740.01,30.41867,-0.48853
2021-12-09 16:42:00+00:00,48740.01,48743.71,48687.6,48700.36,26.43937,-13.09767
2021-12-09 16:43:00+00:00,48700.36,48710.28,48665.49,48665.49,15.98573,-2.95331
2021-12-09 16:44:00+00:00,48665.5,48704.16,48665.49,48670.01,24.59263,6.00103
