,o,h,l,c,v,pot,pot_ask,pot_bid
2021-12-09 16:00:00+00:00,48462.08,48471.09,48400.25,48421.05,33.19742,755.0,353.0,402.0
2021-12-09 16:01:00+00:00,48421.06,48477.67,48400.0,48451.97,30.88797,941.0,469.0,472.0
2021-12-09 16:02:00+00:00,48451.96,48499.52,48430.95,48450.0,34.58077,946.0,436.0,510.0
2021-12-09 16:03:00+00:00,48450.0,48458.6,48359.17,48369.67,36.80515,1003.0,467.0,536.0
2021-12-09 16:04:00+00:00,48369.67,48387.2,48300.0,48316.97,20.64135,825.0,350.0,475.0
2021-12-09 16:05:00+00:00,48316.97,48383.62,48316.96,48321.76,19.85662,651.0,355.0,296.0
2021-12-09 16:06:00+00:00,48321.77,48429.44,48312.0,48409.06,30.80138,793.0,427.0,366.0
2021-12-09 16:07:00+00:00,48409.06,48462.15,48404.38,48425.65,17.92321,704.0,372.0,332.0
2021-12-09 16:08:00+00:00,48425.64,48434.0,48385.9,48392.0,26.27059,701.0,316.0,385.0
2021-12-09 16:09:00+00:00,48390.99,48414.0,48373.11,48406.96,15.38413,613.0,325.0,288.0
2021-12-09 16:10:00+00:00,48404.17,48450.0,48398.26,48437.24,12.46371,680.0,330.0,350.0
2021-12-09 16:11:00+00:00,48437.25,48449.51,48386.03,48398.25,23.45167,640.0,247.0,393.0
2021-12-09 16:12:00+00:00,48398.25,48398.28,48347.6,48350.0,13.2289,521.0,258.0,263.0
2021-12-09 16:13:00+00:00,48350.0,48365.0,48251.0,48282.4,35.8989,951.0,376.0,575.0
2021-12-09 16:14:00+00:00,48282.4,48321.0,48256.01,48271.68,20.20307,606.0,301.0,305.0
2021-12-09 16:15:00+00:00,48271.68,48326.36,48242.76,48326.36,22.6587,680.0,331.0,349.0
2021-12-09 16:16:00+00:00,48326.36,48335.14,48272.81,48277.99,16.56836,606.0,305.0,301.0
2021-12-09 16:17:00+00:00,48278.0,48360.34,48150.61,48338.51,121.49389,1866.0,809.0,1057.0
2021-12-09 16:18:00+00:00,48338.52,48415.0,48326.93,48394.48,41.79241,689.0,339.0,350.0
2021-12-09 16:19:00+00:00,48394.48,48428.8,48380.16,48402.83,16.18288,642.0,327.0,315.0
2021-12-09 16:20:00+00:00,48402.82,48421.43,48350.02,48354.86,19.63573,639.0,309.0,330.0
2021-12-09 16:21:00+00:00,48354.86,48388.11,48334.0,48385.69,20.84247,604.0,304.0,300.0
2021-12-09 16:22:00+00:00,48385.69,48421.17,48377.39,48403.12,22.67236,527.0,289.0,238.0
2021-12-09 16:23:00+00:00,48403.11,48425.0,48370.28,48420.63,36.84737,665.0,321.0,344.0
2021-12-09 16:24:00+00:00,48420.64,48476.77,48412.69,48463.04,19.7659,595.0,312.0,283.0
2021-12-09 16:25:00+00:00,48463.04,48482.02,48425.64,48427.06,16.57488,559.0,272.0,287.0
2021-12-09 16:26:00+00:00,48427.06,48443.87,48400.49,48415.99,10.70349,535.0,236.0,299.0
2021-12-09 16:27:00+00:00,48415.98,48500.0,48415.98,48492.82,19.29575,628.0,331.0,297.0
2021-12-09 16:28:00+00:00,48492.82,48599.28,48481.11,48569.48,59.31386,1074.0,602.0,472.0
2021-12-09 16:29:00+00:00,48569.49,48575.29,48528.01,48550.0,24.11346,692.0,333.0,359.0
2021-12-09 16:30:00+00:00,48544.45,48570.36,48500.0,48560.52,20.55332,692.0,333.0,359.0
2021-12-09 16:31:00+00:00,48560.52,48668.82,48560.51,48613.0,65.25778,1302.0,698.0,604.0
2021-12-09 16:32:00+00:00,48612.99,48657.07,48603.01,48647.0,17.88621,605.0,275.0,330.0
2021-12-09 16:33:00+00:00,48645.99,48647.33,48604.07,48629.99,22.74937,736.0,324.0,412.0
2021-12-09 16:34:00+00:00,48630.0,48648.72,48600.04,48618.75,26.66594,675.0,337.0,338.0
2021-12-09 16:35:00+00:00,48618.75,48638.11,48581.24,48592.1,21.74366,569.0,297.0,272.0
2021-12-09 16:36:00+00:00,48592.1,48649.0,48573.01,48647.73,15.04572,596.0,299.0,297.0
2021-12-09 16:37:00+00:00,48647.74,48647.74,48604.96,48634.03,14.38838,612.0,307.0,305.0
2021-12-09 16:38:00+00:00,48634.03,48635.97,48608.5,48617.59,8.88425,463.0,236.0,227.0
2021-12-09 16:39:00+00:00,48617.58,48729.92,48617.58,48729.91,20.26567,791.0,514.0,277.0
2021-12-09 16:40:00+00:00,48729.92,48838.29,48700.01,48713.78,129.73702,2121.0,1048.0,1073.0
2021-12-09 16:41:00+00:00,48711.23,48795.74,48711.22,48740.01,30.41867,788.0,353.0,435.0
2021-12-09 16:42:00+00:00,48740.01,48743.71,48687.6,48700.36,26.43937,676.0,274.0,402.0
2021-12-09 16:43:00+00:00,48700.36,48710.28,48665.49,48665.49,15.98573,542.0,278.0,264.0
2021-12-09 16:44:00+00:00,48665.5,48704.16,48665.49,48670.01,24.59263,581.0,308.0,273.0
2021-12-09 16:45:00+00:00,48670.01,48683.54,48580.0,48592.6,22.37004,679.0,315.0,364.0
2021-12-09 16:46:00+00:00,48592.6,48680.54,48592.6,48653.36,36.48524,687.0,432.0,255.0
2021-12-09 16:47:00+00:00,48653.37,48695.77,48650.0,48670.09,16.14957,419.0,187.0,232.0
2021-12-09 16:48:00+00:00,48670.1,48698.9,48613.44,48689.27,102.37469,952.0,410.0,542.0
2021-12-09 16:49:00+00:00,48689.28,48702.09,48654.97,48656.87,18.97107,511.0,264.0,247.0
2021-12-09 16:50:00+00:00,48654.97,48699.99,48650.75,48681.73,13.01653,485.0,236.0,249.0
2021-12-09 16:51:00+00:00,48681.72,48681.73,48643.86,48660.01,18.01154,707.0,296.0,411.0
2021-12-09 16:52:00+00:00,48660.01,48699.98,48660.0,48693.73,28.94981,705.0,374.0,331.0
2021-12-09 16:53:00+00:00,48693.73,48696.13,48613.44,48636.84,63.12403,779.0,327.0,452.0
2021-12-09 16:54:00+00:00,48636.84,48680.78,48629.99,48672.13,26.98044,629.0,337.0,292.0
2021-12-09 16:55:00+00:00,48672.13,48706.64,48659.35,48695.75,16.35741,597.0,306.0,291.0
2021-12-09 16:56:00+00:00,48695.75,48699.02,48650.0,48659.82,18.7983,424.0,127.0,297.0
2021-12-09 16:57:00+00:00,48663.71,48678.94,48612.38,48617.8,23.21013,585.0,324.0,261.0
2021-12-09 16:58:00+00:00,48617.8,48638.63,48529.41,48562.67,23.36645,659.0,257.0,402.0
2021-12-09 16:59:00+00:00,48562.68,48571.1,48504.97,48504.98,11.13805,409.0,196.0,213.0
2021-12-09 17:00:00+00:00,48504.97,48539.98,48461.42,48511.09,52.13817,987.0,397.0,590.0
2021-12-09 17:01:00+00:00,48511.09,48572.98,48511.08,48559.57,21.4514,780.0,487.0,293.0
2021-12-09 17:02:00+00:00,48559.58,48683.43,48538.63,48657.95,66.31384,1256.0,758.0,498.0
2021-12-09 17:03:00+00:00,48657.03,48705.15,48612.34,48623.31,37.97775,822.0,366.0,456.0
2021-12-09 17:04:00+00:00,48623.31,48641.29,48615.82,48623.75,9.5125,457.0,196.0,261.0
2021-12-09 17:05:00+00:00,48623.74,48623.75,48573.69,48580.38,9.45786,455.0,203.0,252.0
2021-12-09 17:06:00+00:00,48580.39,48600.55,48560.0,48600.54,19.27907,461.0,228.0,233.0
2021-12-09 17:07:00+00:00,48600.54,48628.62,48600.54,48624.59,8.81892,402.0,197.0,205.0
2021-12-09 17:08:00+00:00,48624.6,48641.14,48610.0,48610.0,12.9581,379.0,162.0,217.0
2021-12-09 17:09:00+00:00,48610.0,48629.22,48610.0,48614.53,11.09988,398.0,184.0,214.0
2021-12-09 17:10:00+00:00,48610.86,48620.49,48571.38,48603.01,23.50961,532.0,222.0,310.0
2021-12-09 17:11:00+00:00,48603.01,48633.85,48598.16,48629.28,19.43852,499.0,186.0,313.0
2021-12-09 17:12:00+00:00,48629.28,48659.52,48607.26,48607.26,11.09724,396.0,184.0,212.0
2021-12-09 17:13:00+00:00,48607.26,48636.22,48592.01,48605.12,25.92299,566.0,287.0,279.0
2021-12-09 17:14:00+00:00,48605.12,48653.99,48605.12,48640.43,19.12718,543.0,253.0,290.0
2021-12-09 17:15:00+00:00,48640.44,48645.75,48600.02,48612.28,10.31785,494.0,222.0,272.0
